company_name,time,salary,title,link
Ambercare24,120,,OFERTA OD 27 WRZEŚNIA! OPIEKUNKA DO MOBILNEGO SENIORA! 1350 EURO!,"https://pl.jooble.org/desc/9172296986824368002?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=513&elckey=-4540265796195764490&sid=5189459144655893599&age=152&relb=100&brelb=100&bscr=1662,37707519531&scr=1662,37707519531&iid=685705525952550183"
Ambercare24,120,,OFERTA DLA OPIEKUNÓW MĘŻCZYZN! DO SAMOTNIE MIESZKAJĄCEJ SENIORKI! 1350 EURO,"https://pl.jooble.org/desc/8164947059873655677?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=518&elckey=-4540265796195764490&sid=5189459144655893599&age=152&relb=100&brelb=100&bscr=1580,77258300781&scr=1580,77258300781&iid=-1254815693734894049"
Ambercare24,120,,OFERTA OD POŁOWY WRZEŚNIA! OPIEKUNKA DO SAMOTNEGO SENIORA! 1400 EURO!,"https://pl.jooble.org/desc/4479164811570144865?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=438&elckey=-4540265796195764490&sid=5189459144655893599&age=152&relb=100&brelb=100&bscr=1677,37817382813&scr=1677,37817382813&iid=402856533342588828"
Ambercare24,144,1350 €,Super oferta dla Opiekunów Mężczyzn do mobilnego,"https://pl.jooble.org/desc/-2612201873262000199?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=214&elckey=-4540265796195764490&sid=5189459144655893599&age=176&relb=100&brelb=100&bscr=3864,837890625&scr=3864,837890625&iid=-3634800630098023405"
Ambercare24,144,,SUPER OFERTA OD ZARAZ! OPIEKUNKA DO OSÓB STARSZYCH! 1450 EURO NA RĘKĘ,"https://pl.jooble.org/desc/-5156993042369211966?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=85&elckey=-4540265796195764490&sid=5189459144655893599&age=176&relb=100&brelb=100&bscr=6496,04443359375&scr=6496,04443359375&iid=5832409025212268907"
Ambercare24,144,,SUPER OFERTA! OPIEKUNKA DO SAMOTNIE MIESZKAJĄCEJ SENIORKI!,"https://pl.jooble.org/desc/-3373106580069183289?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=304&elckey=-4540265796195764490&sid=5189459144655893599&age=176&relb=100&brelb=100&bscr=3359,48706054688&scr=3359,48706054688&iid=5405298519908745337"
Ambercare24,144,,OFERTA OD 30 WRZEŚNIA NA 3 TYGODNIE! OPIEKUNKA DO SAMOTNEJ SENIORKI!,"https://pl.jooble.org/desc/-1333554843991515603?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=309&elckey=-4540265796195764490&sid=5189459144655893599&age=176&relb=100&brelb=100&bscr=3268,21704101563&scr=3268,21704101563&iid=-6477473793345224085"
Ambercare24,144,,SUPER OFERTA! OPIEKUNKA DO MOBILNEJ SENIORKI!+ POMOC DOMOWA+ PRAWO JAZDY!,"https://pl.jooble.org/desc/-3976029746569665022?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=320&elckey=-4540265796195764490&sid=5189459144655893599&age=176&relb=100&brelb=100&bscr=2991,564453125&scr=2991,564453125&iid=-1316810775806798900"
Ambercare24,144,,SUPER OFERTA OD 15 WRZEŚNIA! OPIEKUNKA DO SENIORKI! 1400 EURO NA RĘKĘ,"https://pl.jooble.org/desc/7716978561834908010?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=504&elckey=-4540265796195764490&sid=5189459144655893599&age=176&relb=100&brelb=100&bscr=1788,25830078125&scr=1788,25830078125&iid=8887555183159263884"
Ambercare24,144,1350 €,SUPER OFERTA OD PAŹDZIERNIKA NA 3 TYGODNIE. Opiekunka lub Opiekun mężczyzna do sympatycznego Seniora....,"https://pl.jooble.org/desc/1796934886764840634?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=149&elckey=-4540265796195764490&sid=5189459144655893599&age=176&relb=100&brelb=100&bscr=6009,2099609375&scr=6009,2099609375&iid=-6884788802016684248"
Ambercare24 sp. z o.o. sp. komandytowa,48,,"OPIEKUNKA OSÓB STARSZYCH 1350 EURO, okolice Fryburga","https://pl.jooble.org/desc/7394956513419109110?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=73&elckey=-4540265796195764490&sid=5189459144655893599&age=56&relb=100&brelb=100&bscr=6933,54345703125&scr=6933,54345703125&iid=-8112344481739764386"
Ambercare24 sp. z o.o. sp. komandytowa,72,1350 €,"OPIEKUNKA OSÓB STARSZYCH 1350 EURO, okolice Lipska","https://pl.jooble.org/desc/-1379842154848227562?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=65&elckey=-4540265796195764490&sid=5189459144655893599&age=80&relb=100&brelb=100&bscr=7219,28564453125&scr=7219,28564453125&iid=-7311931204312866685"
Ambercare24 sp. z o.o. sp. komandytowa,72,1300 €,"OPIEKUNKA OSÓB STARSZYCH 1300 EURO, okolice Monachium","https://pl.jooble.org/desc/-4249952597358522278?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=70&elckey=-4540265796195764490&sid=5189459144655893599&age=80&relb=100&brelb=100&bscr=7080,4404296875&scr=7080,4404296875&iid=-3169054302477713972"
Ambercare24 sp. z o.o. sp. komandytowa,72,,"OPIEKUNKA OSÓB STARSZYCH 1400 EURO, okolice Kolonii","https://pl.jooble.org/desc/-3663786738366868259?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=74&elckey=-4540265796195764490&sid=5189459144655893599&age=80&relb=100&brelb=100&bscr=6930,1953125&scr=6930,1953125&iid=-9049613719246067613"
Ambercare24 sp. z o.o. sp. komandytowa,72,,"OPIEKUNKA OSÓB STARSZYCH 1450 EURO, okolice Frankfurtu nad Menem","https://pl.jooble.org/desc/3180113617454919664?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=89&elckey=-4540265796195764490&sid=5189459144655893599&age=80&relb=100&brelb=100&bscr=6274,68408203125&scr=6274,68408203125&iid=-1330065714253016802"
Ambercare24 sp. z o.o. sp. komandytowa,120,,"OPIEKUNKA OSÓB STARSZYCH 1300 EURO, Monachium","https://pl.jooble.org/desc/7481143954502384474?ckey=opieka+nad+osoba+starsza&rgn=53256&pos=62&elckey=-4540265796195764490&sid=5189459144655893599&age=128&relb=100&brelb=100&bscr=7325,9716796875&scr=7325,9716796875&iid=3163202550203658977"
